,Part Number,Supplier Name,Description,Quantity,Price,Total Cost,Margin %,Months No Sale
1791,0306-0795,parts canada/power twins,120/80-18 62h battlax bt46 rea,1,245.99,159.38,35.20874832310256,10
1816,0308-0010,parts canada/power twins,130/80v18 (66v) lasertec rear,1,339.99,220.97000000000003,35.00691196799905,7
1826,0312-0235,parts canada/power twins,90/90-21 54r desert race front,-1,352.99,229.42,35.006657412391284,6
1843,0313-0873,parts canada/power twins,140/80-18 70r desert race baja,-1,520.99,338.62,35.00451064319853,6
1872,0316-0152,parts canada/power twins,90/90-21 54v tl/tt anakee 3 front,1,260.99,169.62,35.00900417640523,7
1973,0316-0355,parts canada/power twins,120/70zr17 (58w) conti trail,1,384.99,250.22,35.00610405465077,3
1989,0316-0388,parts canada/power twins,120/70b19 60q adventurecross,2,310.99,403.12,35.18762661178816,7
2000,0316-0445,parts canada/power twins,90/90-21 54h karoo street fron,1,217.99,141.67000000000002,35.01078031102344,10
2009,0316-0492,parts canada/power twins,110/80r18 58v tl/tt anakee,1,388.99,252.82,35.00604128640838,7
2061,0317-0222,parts canada/power twins,170/60r17 72v tl/tt anakee 3 r,4,414.99,1078.88,35.005662787055115,11
2081,0317-0251,parts canada/power twins,160/60r17 69h mt60rs rear,1,428.99,278.82000000000005,35.00547798316977,7
2087,0317-0292,parts canada/power twins,140/80r17 69v scorpion trail ii,1,394.99,256.72,35.00594951770931,7
2116,0317-0357,parts canada/power twins,170/60r17 72v scorpion rally s,1,511.99,332.77,35.004589933397135,7
2132,0317-0399,parts canada/power twins,120/70zr18 (59w) mt60w oe front,1,424.99,276.22,35.005529541871574,1
2133,0317-0399,parts canada/power twins,120/70zr18 (59w) mt60w oe front,1,424.99,276.22,35.005529541871574,1
2143,0317-0412,parts canada/power twins,170/60r17 72v battlax adventur,1,408.99,265.63,35.052201765324334,1
2160,0317-0449,parts canada/power twins,170/60zr17 72w conti trail att,1,494.99,321.72,35.004747570658,2
2162,0317-0451,parts canada/power twins,140/80r17 69h tkc70 rear,1,444.99,289.22,35.00528101755096,3
2166,0317-0455,parts canada/power twins,140/80r17 69h tl/tt anakee,1,430.99,280.12,35.00545256270447,4
2179,0317-0488,parts canada/power twins,170/60b17 72q adventurecross,2,423.99,550.0,35.13997971650275,7
2193,0317-0560,parts canada/power twins,150/70r17 69s tkc70 rocks rear,2,477.99,621.34,35.004916420845625,0
2195,0317-0561,parts canada/power twins,170/60r17 72s tkc70 rocks rear,9,500.99,2930.58,35.00469071238947,0
2214,0317-0765,parts canada/power twins,170/60r17 72t karoo 4 rear,3,490.99,957.36,35.004786248192424,1
2266,0340-0862,parts canada/power twins,120/70-15 56s angel front,1,193.99,126.07,35.012114026496214,7
2289,0350-0117,parts canada/power twins,180/65-16 tire tube cmv,1,40.99,26.620000000000005,35.05733105635521,1
2299,0350-0210,parts canada/power twins,tube me-g18 150 to 180-18 tr-4,1,64.99,42.22,35.03615940913987,2
2301,0350-0303,parts canada/power twins,tube me-e19 3.25 to 4.10 & 90 to,1,63.99,41.57,35.03672448820128,7
2329,0363-0040,parts canada/power twins,stop n go mini air compressor,1,82.99,53.92,35.02831666465839,48
2332,0363-0055,parts canada/power twins,tubeless puncture pilot,2,139.99,181.94,35.01678691335096,1
2537,04-692,moto international,"ignition sw, w/2 keys",1,45.99,29.89,35.007610350076106,0
3190,0602-0439,parts canada/power twins,"riser 2"" rox pivot 7/8 n",1,153.99,94.22,38.81420871485161,7
3198,0602-0654,parts canada/power twins,riser 1.25 up 1 bac elite,1,157.99,94.87,39.951895689600605,72
3205,0602-0729,parts canada/power twins,"2"" pivoting bar risers rox",1,172.99,112.42000000000002,35.013584600265915,9
3226,0603-0457,parts canada/power twins,base fork stem,1,36.99,24.020000000000003,35.063530683968644,1
3228,0603-0458,parts canada/power twins,base h-bar/brk/clch,14,43.99,399.98,35.0534212320982,7
3284,0616-0232,parts canada/power twins,enhanced rh hbar mount,1,141.99,92.27,35.01655046130009,2
3341,0636-0122,parts canada/power twins,kit lg xgrip & ubolt,4,103.99,278.6,33.02240600057698,0
3405,0652-1611,parts canada/power twins,clutch cable black vinyl,1,28.99,18.82,35.08106243532252,3
3639,0767407A,thibault canada,windshield clear ducati,1,147.99,103.59,30.002027163997564,7
3665,076D5124B,thibault canada,low spec.windscreen smoke,1,139.99,97.99,30.00214301021501,7
3698,076M9A,thibault canada,anodized aluminium trekker,1,180.99,126.69,30.001657550140887,1
3729,076S180T,thibault canada,clear tilting shield deflector,1,219.99,153.99,30.001363698349927,7
3747,076SR9051,thibault canada,monorack blk monolock r.,1,189.99,132.99,30.00157903047529,10
3776,076Z113C2,thibault canada,rep. plate with cover,1,59.99,41.99,30.005000833472245,7
3901,08-0517,moto international,optimate 1 duo 4 step 12v/12.8,1,60.99,39.64,35.00573864567962,30
3959,08-12023,moto international,"hose clamp 7/16"" to 25/32"" pk/10",9,32.99,192.96,35.01060927553804,0
4357,09-2034,full bore,"arai,corsair-x,frost/blk,sm",1,999.95,637.47,36.249812490624535,55
4414,09-4164,full bore,"arai,defiant-x,white,sm",1,935.99,572.8,38.80276498680541,29
4420,09-4186,full bore,"arai,defiant-x,outline/red,lg",1,1149.99,703.1500000000001,38.85599005208741,29
4422,09-4276,full bore,"arai,defiant-x,shelby/blk,lg",1,1149.99,703.1500000000001,38.85599005208741,29
5072,09262-25003,suzuki,ball bearing,1,23.99,14.859999999999998,38.05752396832014,0
5133,09265-25019,suzuki,"bearing, upper steer",1,41.99,26.790000000000003,36.199095022624434,0
5773,10-05722,zero moto internationalrcycles,commuter screen,-1,295.99,191.75,35.21740599344572,1
5787,10-08020-1,zero moto internationalrcycles,zero xmx top box rack kit -,1,185.99,120.25,35.34598634335179,4
5793,10-08060,zero moto internationalrcycles,"zero,hand,guards,cycra",1,250.99,162.5,35.25638471652257,3
5794,10-08093,zero moto internationalrcycles,rain guard,1,38.99,24.700000000000003,36.65042318543216,7
5803,10-08207-51,zero moto internationalrcycles,painted dsr jet black with,1,4416.99,3709.15,16.02539285803228,3
5896,10-P03-1461,full bore,"xd4-shield anti-fog,tint",1,101.99,62.96,38.268457691930585,35
5900,10-P1070,full bore,vas-v pro shade system,1,134.99,94.46,30.02444625527817,23
5995,100062211,royal enfield,surf n ride tee m,4,53.99,132.72000000000003,38.54417484719392,11
5996,100062212,royal enfield,surf n ride tee l,6,62.99,234.78000000000003,37.87902841720908,11
5997,100062213,royal enfield,surf n ride tee xl,4,48.99,123.08,37.19126352316799,11
5998,100062214,royal enfield,surf n ride tee xxl,2,48.99,61.540000000000006,37.19126352316799,9
5999,100062215,royal enfield,surf n ride tee xxxl,3,48.99,92.31,37.19126352316799,11
6000,100062241,royal enfield,engine black tee m,3,53.99,99.54000000000002,38.54417484719392,9
6001,100062242,royal enfield,engine black tee l,2,62.99,78.26,37.87902841720908,9
6002,100062243,royal enfield,engine black tee xl,3,48.99,92.31,37.19126352316799,9
6003,100062244,royal enfield,engine black tee xxl,1,48.99,30.770000000000003,37.19126352316799,11
6004,100062245,royal enfield,engine black tee xxxl,1,48.99,30.770000000000003,37.19126352316799,9
6133,1013-0165,parts canada/power twins,plate airfilter r/en 650,1,42.99,30.07,30.053500814142826,10
6152,10160,kimpex,yt7b-bs yuasa battery,2,154.99,219.64,29.143815730047105,39
6158,1017035/A,royal enfield,taillamp assy with bulb,3,47.99,92.37,35.84080016670139,10
6160,1017036/B,royal enfield,trafficator assy with bulb flh,2,36.99,47.580000000000005,35.685320356853204,2
6161,1017037/B,royal enfield,trafficator assy with bulb frh,2,29.99,37.8,36.97899299766589,2
6504,1022405-266,polaris,"weld-handlebar,n,blk",1,378.99,265.29,30.000791577614184,4
6532,1023750-329,polaris,"brkt-clsout,fndr,rh,ecoat",1,51.99,36.39,30.005770340450084,15
6535,1023756-329,polaris,"brkt-clsout,fndr,lh,ecoat",1,51.99,36.39,30.005770340450084,15
6590,1025271-866,polaris,"asm-fender,rr,onyx,blk,smk",1,1641.99,1165.81,29.00017661496112,10
6620,1026864-266,polaris,"asm-sidestand,blk",1,68.99,54.78999999999999,20.582693143933906,5
6634,1028796-266,polaris,"asm-sidestand,blk",8,68.99,438.32,20.582693143933906,0
6635,1028796-266,polaris,"asm-sidestand,blk",8,68.99,438.32,20.582693143933906,0
6636,1028796-266,polaris,"asm-sidestand,blk",8,68.99,438.32,20.582693143933906,0
6653,1030011/C,royal enfield,handle bar assembly,1,191.99,124.59,35.10599510391167,10
6654,1030022/C,royal enfield,cable - clutch,3,51.99,100.77,35.391421427197535,10
6657,1030034/E,royal enfield,"control plate, rider, lh",1,29.99,19.59,34.67822607535845,10
6658,1030045/B,royal enfield,brake pedal assy,1,41.99,27.99,33.34127173136461,10
6659,1030053/A,royal enfield,rear view mirror lh - chrome,2,34.99,44.78,36.010288653901114,10
6660,1030054/A,royal enfield,rear view mirror rh - chrome,2,30.99,39.2,36.75379154565989,10
6662,1030081/A,royal enfield,"mirror, rear view, lh, black",2,33.99,44.78,34.1276846131215,10
6663,1030082/A,royal enfield,rear view mirror rh - black,2,30.99,39.2,36.75379154565989,10
6703,1041284/F,royal enfield,"pannier rail,",1,188.99,138.60000000000002,26.66278639081433,6
6704,1041296/A,royal enfield,rear view mirror lh - black,2,34.99,47.580000000000005,32.00914547013432,10
6705,1041297/A,royal enfield,rear view mirror rh - black,2,34.99,47.580000000000005,32.00914547013432,10
6706,1041304,royal enfield,aluminium handlebar,2,160.99,210.0,34.77855767438972,8
6902,107A08,thibault canada,optimate cable 1/4 ring to,2,29.99,38.98,35.01167055685229,7
6905,107A105,thibault canada,optimate usb 3300ma 2 x usb ch,8,38.99,202.72000000000003,35.00897666068222,0
6910,107A120,thibault canada,optimate led emergency 12v lig,5,20.99,70.14999999999999,33.158646974749885,24
6911,107A13,thibault canada,optimate cable sae/sae 15ft / 4.6,2,25.99,33.78,35.01346671796845,6
6913,107A18,thibault canada,optimate cable ring to sae/sae,2,33.99,44.18000000000001,35.01029714621948,2
6917,107A23,thibault canada,optimate cable 10a sae/sae 15ft,8,33.99,176.72000000000003,35.01029714621948,8
6922,107TM409,thibault canada,optimate 1 duo 4-step 12v 0.6a,2,63.99,83.18,35.00546960462572,1
7151,1101-4571,parts canada/power twins,high flow air filter carb,1,41.99,30.700000000000003,26.88735413193617,10
7274,11111256974,bmw,stop disk,2,63.99,91.4,28.582591029848416,7
7311,11111341135,bmw,shaft seal,1,41.99,26.24,37.50893069778519,7
7338,11111464808,bmw,shaft seal,1,23.99,15.2,36.640266777824095,7
7350,11112343018,bmw,"shaft seal, output shaft",3,31.99,60.96,36.480150046889655,3
7352,11112343019,bmw,"shaft seal, compensating sha",5,26.99,84.80000000000001,37.1619118191923,7
7362,11112343436,bmw,"repair kit, oil drain plug",1,200.99,128.0,36.315239564157416,7
7381,11115-20E70-AM,action moto internationalrcycles / barnes,"guide,valve",2,49.99,62.32000000000001,37.66753350670133,73
7398,11117666186,bmw,shaft seal,3,49.99,95.04,36.627325465093016,7
7400,11117666292,bmw,bump stop,2,32.99,42.580000000000005,35.46529251288269,4
7410,11117671730,bmw,shaft seal,8,34.99,172.40000000000003,38.41097456416119,7
7421,11117672505,bmw,temperature sensor coolant /,1,59.99,42.48,29.188198033005506,7
7425,11117675355,bmw,spacer,1,30.99,19.2,38.04453049370765,7
7427,11117682158,bmw,vibration damper,8,32.0,163.84,36.0,2
7430,11117685005,bmw,shaft seal,4,31.99,81.28,36.480150046889655,7
7433,11117686581,bmw,gasket,1,33.99,21.120000000000005,37.864077669902905,7
7435,11117689534,bmw,shaft seal,1,26.99,16.96,37.1619118191923,7
7458,11117700116,bmw,"shaft seal, output shaft",4,31.99,81.28,36.480150046889655,7
7460,11117700117,bmw,"shaft seal, compensating sha",4,26.99,67.84,37.1619118191923,7
7462,11117700322,bmw,grooved ball bearing,1,55.99,34.1,39.09626719056975,7
7481,11117707906,bmw,gasket left,3,38.99,74.4,36.393947165939984,1
7494,11117715453,bmw,"seal kit, output shaft/swing",-1,46.99,29.6,37.00787401574803,3
7505,11117721848,bmw,shaft seal,4,31.99,81.28,36.480150046889655,1
7508,11117722513,bmw,screw,2,41.99,53.24000000000001,36.60395332221957,7
7519,11118409787,bmw,shaft seal,1,41.99,26.24,37.50893069778519,7
7527,11118528386,bmw,shaft seal,1,39.99,24.340000000000003,39.13478369592398,7
7529,11118528387,bmw,shaft seal,2,29.99,37.12,38.11270423474492,2
7532,11118537769,bmw,free wheel,1,280.99,201.6,28.253674507989608,7
7544,11118562693,bmw,shaft seal,2,29.99,37.44,37.57919306435479,7
7571,11121025095,bmw,valve cover kit,10,145.67,990.2999999999998,32.01757396855908,0
7572,11121025095,bmw,valve cover kit,10,145.67,990.2999999999998,32.01757396855908,0
7573,11121025095,bmw,valve cover kit,10,145.67,990.2999999999998,32.01757396855908,0
7574,11121025095,bmw,valve cover kit,10,145.67,990.2999999999998,32.01757396855908,0
7584,11121257396,bmw,connector,2,74.99,97.36,35.08467795706095,7
7599,11121338708,bmw,valve guide,2,44.99,54.00000000000001,39.98666370304512,7
7606,11121338716,bmw,cylinder head gasket asbesto,4,30.99,77.63999999999999,37.36689254598258,7
7608,11121340838,bmw,valve guide inlet,4,37.99,108.72,28.45485654119505,7
7610,11121340843,bmw,valve guide exhaust,4,31.99,90.72,29.10284463894968,7
7620,11121341708,bmw,exterior gasket,2,53.99,70.38,34.82126319688831,3
7628,11121342394,bmw,"cyl. head gasket, 3 componen",1,94.99,60.16,36.667017580797975,4
7630,11121342450,bmw,valve seat ring intake,2,54.99,77.76,29.2962356792144,7
7632,11121342459,bmw,valve seat ring exhaust,2,87.99,126.0,28.400954653937948,7
7640,11121460463,bmw,gasket,2,33.99,43.28,36.334215945866426,7
7643,11121460622,bmw,gasket,1,33.99,21.64,36.334215945866426,7
7645,11121460623,bmw,gasket,3,26.99,51.39,36.5320489070026,7
7647,11121461396,bmw,"gasket, cylinder head cover",2,106.99,140.77999999999997,34.20880456117394,7
7649,11121461875,bmw,cylinder head gasket,1,124.99,79.74,36.20289623169854,7
7655,11121464823,bmw,gasket,3,113.99,225.24,34.13457320817616,3
7690,11127652921,bmw,gasket,4,61.99,161.8,34.74753992579448,7
7693,11127654306,bmw,rubber/metal gasket ring f c,15,20.99,196.79999999999995,37.49404478323012,7
7697,11127658634,bmw,isa screw with bush,8,30.99,154.88,37.52823491448855,3
7718,11127673086,bmw,exterior gasket,10,69.99,455.3999999999999,34.93356193741963,4
7723,11127674644,bmw,interior gasket,3,46.99,92.88,34.11364120025537,1
7725,11127674645,bmw,exterior gasket,3,78.99,154.85999999999996,34.64995569059375,1
7730,11127675484,bmw,shaft seal,1,23.99,15.2,36.640266777824095,7
7763,11127698958,bmw,screw with bush,14,30.99,271.04,37.52823491448855,7
7779,11127713809,bmw,exterior gasket,4,74.99,197.0,34.3245766102147,4
7781,11127713810,bmw,gasket,12,49.99,394.2000000000001,34.28685737147429,4
7805,11127723216,bmw,"gasket kit, cylinder head co",3,183.99,363.75,34.09967933039839,7
7813,11127726964,bmw,o-ring set,6,30.99,117.11999999999998,37.011939335269446,7
7817,11127728760,bmw,"gasket set, cylinder head co",4,215.99,568.96,34.14509931015325,0
7818,11127728760,bmw,"gasket set, cylinder head co",4,215.99,568.96,34.14509931015325,0
7822,11127728976,bmw,"spark plug cover, right",1,26.99,19.12,29.15894775842905,7
7827,11127923313,bmw,"gasket kit, cylinder head co",3,221.99,439.47,34.01054101536105,7
7829,11127923660,bmw,"gasket kit, cylinder head co",4,110.99,291.0,34.45355437426795,5
7836,11128394374,bmw,"cylinder head cover, silver,",1,402.99,290.03000000000003,28.030472220154344,7
7838,11128394375,bmw,"cylinder head cover, agate g",1,402.99,290.03000000000003,28.030472220154344,1
7839,11128394376,bmw,"cylinder head cover, agate g",1,383.99,276.06,28.10750279955208,7
7844,11128394385,bmw,"ignition coil cover, left",1,70.99,51.03999999999999,28.10254965488097,1
7845,11128394385,bmw,"ignition coil cover, left",1,70.99,51.03999999999999,28.10254965488097,1
7846,11128394385,bmw,"ignition coil cover, left",1,70.99,51.03999999999999,28.10254965488097,1
7861,11128405728,bmw,set of valve cover gaskets,4,51.99,135.76,34.71821504135411,5
7864,11128520212,bmw,isa screw with bush,20,24.99,313.6,37.25490196078432,0
7865,11128520212,bmw,isa screw with bush,20,24.99,313.6,37.25490196078432,0
7866,11128520212,bmw,isa screw with bush,20,24.99,313.6,37.25490196078432,0
7870,11128520621,bmw,"gasket set, cylinder head co",5,186.99,616.2,34.09273223167014,0
7872,11128523449,bmw,"gasket set, cylinder head co",1,93.99,61.84,34.2057665709118,7
7874,11128523552,bmw,screw with bush,3,30.99,58.08,37.52823491448855,2
7884,11128542057,bmw,"seal kit, cylinder head cove",4,122.99,323.28,34.287340434181644,1
7886,11128542058,bmw,"seal kit, cylinder head cove",5,122.99,404.1,34.287340434181644,1
7900,11128566404,bmw,"gasket set, cylinder head co",4,73.99,194.0,34.45060143262603,7
7902,11128569342,bmw,cylinder head gasket,1,200.99,128.0,36.315239564157416,7
7912,11129480983,bmw,seal set for cylinder head c,3,198.99,393.27,34.12231770440726,7
7917,11129899381,bmw,set of gaskets,2,122.99,161.64,34.287340434181644,2
7934,11131744329,bmw,"screw plug, magnetic",1,32.99,20.480000000000004,37.9205819945438,7
7936,11132330145,bmw,"screw plug, magnetic",1,64.99,40.96,36.97491921834129,7
7942,11137685983,bmw,oil drain plug,1,21.99,13.439999999999998,38.881309686221016,7
7952,11137720999,bmw,"screw plug, magnetic",1,23.99,14.72,38.641100458524384,7
7954,11137728761,bmw,"set, oilpan gasket",1,175.99,112.0,36.36002045570771,7
7957,11138536827,bmw,oil drain plug,1,32.99,20.800000000000004,36.95059108820855,7
7960,11138562759,bmw,"gasket, clutch cover",1,31.99,19.84,37.98061894341982,7
7965,11138562773,bmw,preformed seal,2,31.99,40.31999999999999,36.98030634573304,7
8034,11141253415,bmw,hose,2,33.99,48.260000000000005,29.00853192115328,7
8076,11141460687,bmw,gasket,2,25.99,35.099999999999994,32.47402847248942,7
8090,11141464874,bmw,screw,10,31.99,200.0,37.480462644576434,7
8097,11142343037,bmw,needle sleeve,3,24.99,46.56,37.895158063225296,7
8099,11142343038,bmw,shaft seal,3,31.99,60.96,36.480150046889655,5
8129,11147665326,bmw,grooved ball bearing,1,55.99,34.1,39.09626719056975,7
8131,11147665328,bmw,o-ring,2,20.99,25.92,38.25631252977608,7
8135,11147670688,bmw,gasket right,7,27.99,122.07999999999998,37.69203286888175,0
8137,11147671363,bmw,"cover, clutch",1,48.99,34.74,29.08756889161053,7
8140,11147674083,bmw,cover,2,38.99,55.8,28.44319056168248,7
8144,11147675732,bmw,"spark plug cover, right",1,49.99,35.93,28.125625125025007,4
8149,11147678137,bmw,gasket,2,34.99,43.52,37.81080308659617,7
8166,11147700121,bmw,shaft seal,1,31.99,20.32,36.480150046889655,7
8170,11147700194,bmw,gasket,1,33.99,21.120000000000005,37.864077669902905,7
8178,11147706498,bmw,gasket,2,38.99,49.60000000000001,36.393947165939984,0
8180,11147706500,bmw,gasket right,1,33.99,21.120000000000005,37.864077669902905,7
8195,11147715428,bmw,gasket set for housing cover,2,90.99,115.84,36.34465325859985,7
8205,11147721528,bmw,gasket left,2,38.99,49.60000000000001,36.393947165939984,7
8213,11147727974,bmw,gasket,1,34.99,21.76,37.81080308659617,0
8216,11147728736,bmw,lid crankshaft,1,97.99,69.84,28.72742116542504,1
8227,11148393581,bmw,gasket ring,4,22.99,56.96,38.06002609830361,7
8248,11148568825,bmw,"gasket, clutch cover",3,32.99,61.44000000000001,37.9205819945438,5
8255,11151335735,bmw,vent hose,1,112.99,77.32,31.5691654128684,7
8258,11151335756,bmw,breather,1,103.99,70.19999999999999,32.49350899124916,3
8259,11151337257,bmw,vent hose,2,38.99,47.120000000000005,39.57424980764298,7
8261,11151337258,bmw,vent hose,1,65.99,39.78,39.718139111986666,7
8270,11151460480,bmw,vent hose,4,36.99,90.16,39.06461205731278,7
8274,11151461835,bmw,vent hose,1,50.99,32.32,36.615022553441854,7
8282,111584,parts canada/power twins,rr sprct 40t 630,1,26.99,27.95,-3.556872915894776,0
8416,11211460376,bmw,needle bearing,1,53.99,33.92,37.17355065752917,7
8421,11211460673,bmw,hex nut,9,21.99,122.39999999999998,38.1537062301046,7
8423,11211460696,bmw,compression ring,1,23.99,16.15,32.6802834514381,7
8446,11218393193,bmw,main bearing shell / yellow,2,49.99,63.040000000000006,36.94738947789558,7
8448,11218393194,bmw,main bearing shell with groo,4,49.99,126.08,36.94738947789558,7
8450,11218394227,bmw,main bearing shell / brown,2,49.99,63.040000000000006,36.94738947789558,7
8452,11218394228,bmw,main bearing shell with groo,2,49.99,63.040000000000006,36.94738947789558,7
8459,11218530252,bmw,main bearing shell / green,1,64.99,40.96,36.97491921834129,7
8468,11221257796,bmw,hex bolt,5,22.99,81.44999999999999,29.143105698129624,7
8545,11241258420,bmw,bearing shell,2,48.99,64.68,33.98652786282915,7
8547,11241258421,bmw,bearing shell,2,47.99,63.74,33.5903313190248,7
8570,11247671250,bmw,connecting rod bolt,10,25.99,163.79999999999998,36.9757599076568,7
8573,11247687034,bmw,"bearing shell, cap side, red",1,74.99,47.67999999999999,36.41818909187892,7
8575,11247687041,bmw,"bearing shell, rod side, blu",1,74.99,47.67999999999999,36.41818909187892,7
8577,11247688359,bmw,connecting rod bolt,1,25.99,16.38,36.9757599076568,7
8586,11247700603,bmw,"bearing shell, cover side, r",2,64.99,81.91999999999999,36.97491921834129,7
8588,11247700604,bmw,"bearing shell, rod side, blu",2,64.99,81.91999999999999,36.97491921834129,7
8604,11251265505,bmw,repair kit piston rings,2,99.99,129.06,35.46354635463547,7
8612,11251337401,bmw,repair kit piston rings,2,99.99,129.06,35.46354635463547,7
8637,11261460420,bmw,needle sleeve,2,41.99,53.440000000000005,36.36580138128125,7
8649,11267675452,bmw,oil pump sprocket,1,220.99,158.4,28.322548531607765,7
8656,11267689493,bmw,needle sleeve,1,53.99,33.92,37.17355065752917,7
8666,11267728757,bmw,damper rubber,4,24.99,62.71999999999999,37.25490196078432,0
8675,11268535823,bmw,plain bearing,1,51.99,32.64,37.21869590305828,0
8676,11268535823,bmw,plain bearing,1,51.99,32.64,37.21869590305828,0
8677,11269898042,bmw,set starter drive,1,250.99,180.0,28.283995378301924,7
8685,11277670337,bmw,balance weight,2,260.99,374.4,28.27311391241044,7
8691,11277688360,bmw,connecting rod bolt,2,25.99,32.76,36.9757599076568,7
8693,11277690501,bmw,bearing shell,2,64.99,81.91999999999999,36.97491921834129,7
8694,11277702622,bmw,balance weight,1,260.99,187.2,28.27311391241044,1
8755,11311338302,bmw,camshaft camshaft,1,575.99,351.05,39.05276133266202,7
8761,11311340742,bmw,piston right,1,35.99,25.200000000000003,29.980550152820225,7
8766,11311341138,bmw,"cylinder f chain tensioner,",1,46.99,28.680000000000003,38.96573739093424,7
8770,11311341295,bmw,left chain tensioner,1,52.99,37.8,28.66578599735799,7
8791,11315A657F5,bmw,chain tensioner,4,215.99,619.2,28.33001527848511,2
8793,11317108586,bmw,set chain tensioner left,1,195.99,140.4,28.36369202510332,0
8798,11317665882,bmw,"repair kit, timing gear lini",1,82.99,59.03999999999999,28.85889866248946,7
8808,11317675400,bmw,slide rail,2,52.99,75.60000000000001,28.66578599735799,7
8834,11317695823,bmw,chain tensioner,1,96.99,59.52,38.63284874729354,7
8842,11317701020,bmw,washer,1,27.99,17.599999999999998,37.12040014290818,7
8845,11317702113,bmw,washer,1,28.99,18.24,37.0817523283891,7
8848,11317705460,bmw,o-ring set,3,21.99,40.8,38.1537062301046,4
8854,11317707797,bmw,"chain tensioner, left",1,180.99,129.60000000000002,28.39383391347588,7
8856,11317707798,bmw,"chain tensioner, right",1,180.99,129.60000000000002,28.39383391347588,7
8858,11317708198,bmw,camshaft sprocket,2,105.99,151.2,28.67251627512029,7
8875,11317717289,bmw,o-ring set,3,21.99,40.8,38.1537062301046,7
8886,11317728284,bmw,gasket,4,45.99,115.2,37.37769080234834,7
8892,11318521660,bmw,camshaft sensor reluctor rin,2,23.99,33.22,30.76281784076699,7
8910,11318530331,bmw,"cylinder f chain tensioner,",1,70.99,50.39999999999999,29.00408508240597,7
8912,11318531009,bmw,set of chain tensioners,2,160.99,230.40000000000003,28.44276041990185,7
8918,11318534849,bmw,"screw plug, silver",3,62.99,120.0,36.49785680266709,7
8932,11318544978,bmw,"intermediate shaft, right",1,680.99,490.15,28.02390637160605,7
8935,11318546710,bmw,gear wheel,2,290.99,417.6,28.244956871370142,7
8937,11318546711,bmw,gear wheel,1,290.99,208.8,28.244956871370142,7
8940,11318546713,bmw,gear wheel,1,290.99,208.8,28.244956871370142,7
